year,state,dem_cand,dem_vote,rep_cand,rep_vote,tot_state_vote
1980,Alabama,"Carter, Jimmy",636730,"Reagan, Ronald",654192,1341929
1980,Alaska,"Carter, Jimmy",41842,"Reagan, Ronald",86112,158445
1980,Arizona,"Carter, Jimmy",246843,"Reagan, Ronald",529688,873945
1980,Arkansas,"Carter, Jimmy",398041,"Reagan, Ronald",403164,837582
1980,California,"Carter, Jimmy",3082943,"Reagan, Ronald",4522994,8582938
1980,Colorado,"Carter, Jimmy",368009,"Reagan, Ronald",652264,1184450
1980,Connecticut,"Carter, Jimmy",541732,"Reagan, Ronald",677210,1406285
1980,Delaware,"Carter, Jimmy",105754,"Reagan, Ronald",111252,235668
1980,District of Columbia,"Carter, Jimmy",130231,"Reagan, Ronald",23313,173889
1980,Florida,"Carter, Jimmy",1419475,"Reagan, Ronald",2046951,3686927
1980,Georgia,"Carter, Jimmy",890955,"Reagan, Ronald",654168,1596805
1980,Hawaii,"Carter, Jimmy",135879,"Reagan, Ronald",130112,303287
1980,Idaho,"Carter, Jimmy",110192,"Reagan, Ronald",290699,437431
1980,Illinois,"Carter, Jimmy",1981413,"Reagan, Ronald",2358049,4749721
1980,Indiana,"Carter, Jimmy",844197,"Reagan, Ronald",1255656,2242033
1980,Iowa,"Carter, Jimmy",508672,"Reagan, Ronald",676026,1317661
1980,Kansas,"Carter, Jimmy",326150,"Reagan, Ronald",566812,979795
1980,Kentucky,"Carter, Jimmy",617417,"Reagan, Ronald",635274,1295627
1980,Louisiana,"Carter, Jimmy",708453,"Reagan, Ronald",792853,1548591
1980,Maine,"Carter, Jimmy",220974,"Reagan, Ronald",238522,523011
1980,Maryland,"Carter, Jimmy",726161,"Reagan, Ronald",680606,1540496
1980,Massachusetts,"Carter, Jimmy",1053802,"Reagan, Ronald",1057631,2524090
1980,Michigan,"Carter, Jimmy",1661532,"Reagan, Ronald",1915225,3909725
1980,Minnesota,"Carter, Jimmy",954173,"Reagan, Ronald",873268,2051916
1980,Mississippi,"Carter, Jimmy",429281,"Reagan, Ronald",441089,891750
1980,Missouri,"Carter, Jimmy",931182,"Reagan, Ronald",1074181,2099824
1980,Montana,"Carter, Jimmy",118032,"Reagan, Ronald",206814,363952
1980,Nebraska,"Carter, Jimmy",166424,"Reagan, Ronald",419214,639533
1980,Nevada,"Carter, Jimmy",66666,"Reagan, Ronald",155017,243692
1980,New Hampshire,"Carter, Jimmy",108864,"Reagan, Ronald",221705,383990
1980,New Jersey,"Carter, Jimmy",1147364,"Reagan, Ronald",1546557,2975684
1980,New Mexico,"Carter, Jimmy",167826,"Reagan, Ronald",250779,456237
1980,New York,"Carter, Jimmy",2728372,"Reagan, Ronald",2637700,6201959
1980,North Carolina,"Carter, Jimmy",875635,"Reagan, Ronald",915018,1855833
1980,North Dakota,"Carter, Jimmy",79189,"Reagan, Ronald",193695,301116
1980,Ohio,"Carter, Jimmy",1752414,"Reagan, Ronald",2206545,4283603
1980,Oklahoma,"Carter, Jimmy",402026,"Reagan, Ronald",695570,1149708
1980,Oregon,"Carter, Jimmy",456890,"Reagan, Ronald",571044,1181516
1980,Pennsylvania,"Carter, Jimmy",1937540,"Reagan, Ronald",2261872,4561501
1980,Rhode Island,"Carter, Jimmy",198342,"Reagan, Ronald",154793,415967
1980,South Carolina,"Carter, Jimmy",428220,"Reagan, Ronald",439277,888258
1980,South Dakota,"Carter, Jimmy",103855,"Reagan, Ronald",198343,327703
1980,Tennessee,"Carter, Jimmy",783051,"Reagan, Ronald",787761,1617616
1980,Texas,"Carter, Jimmy",1881147,"Reagan, Ronald",2510705,4541636
1980,Utah,"Carter, Jimmy",124266,"Reagan, Ronald",439687,604152
1980,Vermont,"Carter, Jimmy",81952,"Reagan, Ronald",94628,213299
1980,Virginia,"Carter, Jimmy",752174,"Reagan, Ronald",989609,1866032
1980,Washington,"Carter, Jimmy",650193,"Reagan, Ronald",865244,1742394
1980,West Virginia,"Carter, Jimmy",367462,"Reagan, Ronald",334206,737715
1980,Wisconsin,"Carter, Jimmy",981584,"Reagan, Ronald",1088845,2273221
1980,Wyoming,"Carter, Jimmy",49427,"Reagan, Ronald",110700,176713
1984,Alabama,"Mondale, Walter",551899,"Reagan, Ronald",872849,1441713
1984,Alaska,"Mondale, Walter",62007,"Reagan, Ronald",138377,207605
1984,Arizona,"Mondale, Walter",333854,"Reagan, Ronald",681416,1025897
1984,Arkansas,"Mondale, Walter",338646,"Reagan, Ronald",534774,884406
1984,California,"Mondale, Walter",3922519,"Reagan, Ronald",5467009,9505041
1984,Colorado,"Mondale, Walter",454975,"Reagan, Ronald",821817,1295380
1984,Connecticut,"Mondale, Walter",569597,"Reagan, Ronald",890877,1466900
1984,Delaware,"Mondale, Walter",101656,"Reagan, Ronald",152190,254572
1984,District of Columbia,"Mondale, Walter",180408,"Reagan, Ronald",29009,211288
1984,Florida,"Mondale, Walter",1448816,"Reagan, Ronald",2730350,4180051
1984,Georgia,"Mondale, Walter",706628,"Reagan, Ronald",1068722,1776103
1984,Hawaii,"Mondale, Walter",147154,"Reagan, Ronald",185050,335846
1984,Idaho,"Mondale, Walter",108510,"Reagan, Ronald",297523,411144
1984,Illinois,"Mondale, Walter",2086499,"Reagan, Ronald",2707103,4819088
1984,Indiana,"Mondale, Walter",841481,"Reagan, Ronald",1377230,2233069
1984,Iowa,"Mondale, Walter",605620,"Reagan, Ronald",703088,1319805
1984,Kansas,"Mondale, Walter",333149,"Reagan, Ronald",677296,1021991
1984,Kentucky,"Mondale, Walter",539539,"Reagan, Ronald",821702,1369345
1984,Louisiana,"Mondale, Walter",651586,"Reagan, Ronald",1037299,1706822
1984,Maine,"Mondale, Walter",214515,"Reagan, Ronald",336500,553144
1984,Maryland,"Mondale, Walter",787935,"Reagan, Ronald",879918,1675873
1984,Massachusetts,"Mondale, Walter",1239606,"Reagan, Ronald",1310936,2559383
1984,Michigan,"Mondale, Walter",1529638,"Reagan, Ronald",2251571,3801658
1984,Minnesota,"Mondale, Walter",1036364,"Reagan, Ronald",1032603,2084449
1984,Mississippi,"Mondale, Walter",352192,"Reagan, Ronald",582377,941104
1984,Missouri,"Mondale, Walter",848583,"Reagan, Ronald",1274188,2122771
1984,Montana,"Mondale, Walter",146742,"Reagan, Ronald",232450,384377
1984,Nebraska,"Mondale, Walter",187866,"Reagan, Ronald",460054,652090
1984,Nevada,"Mondale, Walter",91655,"Reagan, Ronald",188770,282717
1984,New Hampshire,"Mondale, Walter",120347,"Reagan, Ronald",267050,388904
1984,New Jersey,"Mondale, Walter",1261323,"Reagan, Ronald",1933630,3217862
1984,New Mexico,"Mondale, Walter",201769,"Reagan, Ronald",307101,514370
1984,New York,"Mondale, Walter",3001285,"Reagan, Ronald",3376519,6806810
1984,North Carolina,"Mondale, Walter",824287,"Reagan, Ronald",1346481,2175361
1984,North Dakota,"Mondale, Walter",104429,"Reagan, Ronald",200336,308971
1984,Ohio,"Mondale, Walter",1825440,"Reagan, Ronald",2678559,4563235
1984,Oklahoma,"Mondale, Walter",385080,"Reagan, Ronald",861530,1255676
1984,Oregon,"Mondale, Walter",536479,"Reagan, Ronald",685700,1226527
1984,Pennsylvania,"Mondale, Walter",2228131,"Reagan, Ronald",2584323,4844903
1984,Rhode Island,"Mondale, Walter",197106,"Reagan, Ronald",212080,410489
