year,state,pop,overseas_pop
2010,Alabama,4779736,23246
2011,Alabama,4799069,23340
2012,Alabama,4815588,23420
2013,Alabama,4830081,23490
2014,Alabama,4841799,23547
2015,Alabama,4852347,23598
2016,Alabama,4863525,23652
2017,Alabama,4874486,23705
2018,Alabama,4887681,23769
2019,Alabama,4903185,23844
2010,Alaska,710231,11292
2011,Alaska,722128,11481
2012,Alaska,730443,11613
2013,Alaska,737068,11718
2014,Alaska,736283,11706
2015,Alaska,737498,11725
2016,Alaska,741456,11788
2017,Alaska,739700,11760
2018,Alaska,735139,11687
2019,Alaska,731545,11630
2010,Arizona,6392017,20683
2011,Arizona,6472643,20944
2012,Arizona,6554978,21210
2013,Arizona,6632764,21462
2014,Arizona,6730413,21778
2015,Arizona,6829676,22099
2016,Arizona,6941072,22459
2017,Arizona,7044008,22792
2018,Arizona,7158024,23161
2019,Arizona,7278717,23552
2010,Arkansas,2915918,10311
2011,Arkansas,2940667,10399
2012,Arkansas,2952164,10440
2013,Arkansas,2959400,10466
2014,Arkansas,2967392,10494
2015,Arkansas,2978048,10532
2016,Arkansas,2989918,10574
2017,Arkansas,3001345,10614
2018,Arkansas,3009733,10644
2019,Arkansas,3017804,10673
2010,California,37253956,88033
2011,California,37638369,88941
2012,California,37948800,89675
2013,California,38260787,90412
2014,California,38596972,91206
2015,California,38918045,91965
2016,California,39167117,92554
2017,California,39358497,93006
2018,California,39461588,93250
2019,California,39512223,93370
2010,Colorado,5029196,15734
2011,Colorado,5121108,16022
2012,Colorado,5192647,16246
2013,Colorado,5269035,16485
2014,Colorado,5350101,16739
2015,Colorado,5450623,17054
2016,Colorado,5539215,17331
2017,Colorado,5611885,17558
2018,Colorado,5691287,17806
2019,Colorado,5758736,18017
2010,Connecticut,3574097,7531
2011,Connecticut,3588283,7561
2012,Connecticut,3594547,7574
2013,Connecticut,3594841,7575
2014,Connecticut,3594524,7574
2015,Connecticut,3587122,7558
2016,Connecticut,3578141,7539
2017,Connecticut,3573297,7529
2018,Connecticut,3571520,7525
2019,Connecticut,3565287,7512
2010,Delaware,897934,2943
2011,Delaware,907381,2974
2012,Delaware,915179,3000
2013,Delaware,923576,3028
2014,Delaware,932487,3057
2015,Delaware,941252,3086
2016,Delaware,948921,3111
2017,Delaware,956823,3137
2018,Delaware,965479,3165
2019,Delaware,973764,3192
2010,District of Columbia,601723,2875
2011,District of Columbia,619800,2961
2012,District of Columbia,634924,3033
2013,District of Columbia,650581,3108
2014,District of Columbia,662328,3164
2015,District of Columbia,675400,3226
2016,District of Columbia,685815,3276
2017,District of Columbia,694906,3319
2018,District of Columbia,701547,3351
2019,District of Columbia,705749,3371
2010,Florida,18801310,99463
2011,Florida,19053237,100796
2012,Florida,19297822,102090
2013,Florida,19545621,103401
2014,Florida,19845911,104990
2015,Florida,20209042,106911
2016,Florida,20613477,109051
2017,Florida,20963613,110903
2018,Florida,21244317,112388
2019,Florida,21477737,113623
2010,Georgia,9687653,39913
2011,Georgia,9802431,40386
2012,Georgia,9901430,40794
2013,Georgia,9972479,41087
2014,Georgia,10067278,41478
2015,Georgia,10178447,41936
2016,Georgia,10301890,42445
2017,Georgia,10410330,42892
2018,Georgia,10511131,43307
2019,Georgia,10617423,43745
2010,Hawaii,1360301,6561
2011,Hawaii,1379329,6653
2012,Hawaii,1394804,6728
2013,Hawaii,1408243,6793
2014,Hawaii,1414538,6823
2015,Hawaii,1422052,6859
2016,Hawaii,1427559,6886
2017,Hawaii,1424393,6871
2018,Hawaii,1420593,6853
2019,Hawaii,1415872,6830
2010,Idaho,1567582,5917
2011,Idaho,1583910,5979
2012,Idaho,1595324,6022
2013,Idaho,1611206,6082
2014,Idaho,1631112,6157
2015,Idaho,1651059,6232
2016,Idaho,1682380,6350
2017,Idaho,1717715,6483
2018,Idaho,1750536,6607
2019,Idaho,1787065,6745
2010,Illinois,12830632,33748
2011,Illinois,12867454,33845
2012,Illinois,12882510,33885
2013,Illinois,12895129,33918
2014,Illinois,12884493,33890
2015,Illinois,12858913,33823
2016,Illinois,12820527,33722
2017,Illinois,12778828,33612
2018,Illinois,12723071,33465
2019,Illinois,12671821,33330
2010,Indiana,6483802,17780
2011,Indiana,6516528,17870
2012,Indiana,6537703,17928
2013,Indiana,6568713,18013
2014,Indiana,6593644,18081
2015,Indiana,6608422,18122
2016,Indiana,6634304,18193
2017,Indiana,6658078,18258
2018,Indiana,6695497,18361
2019,Indiana,6732219,18462
2010,Iowa,3046355,7432
2011,Iowa,3066336,7481
2012,Iowa,3076190,7505
2013,Iowa,3092997,7546
2014,Iowa,3109350,7586
2015,Iowa,3120960,7614
2016,Iowa,3131371,7639
2017,Iowa,3141550,7664
2018,Iowa,3148618,7681
2019,Iowa,3155070,7697
2010,Kansas,2853118,10695
2011,Kansas,2869225,10755
2012,Kansas,2885257,10815
2013,Kansas,2893212,10845
2014,Kansas,2900475,10872
2015,Kansas,2909011,10904
2016,Kansas,2910844,10911
2017,Kansas,2908718,10903
2018,Kansas,2911359,10913
2019,Kansas,2913314,10920
2010,Kentucky,4339367,11239
2011,Kentucky,4369821,11318
2012,Kentucky,4386346,11361
2013,Kentucky,4404659,11408
2014,Kentucky,4414349,11433
2015,Kentucky,4425976,11463
2016,Kentucky,4438182,11495
2017,Kentucky,4452268,11531
2018,Kentucky,4461153,11554
2019,Kentucky,4467673,11571
2010,Louisiana,4533372,20590
2011,Louisiana,4575625,20782
2012,Louisiana,4600972,20897
2013,Louisiana,4624527,21004
2014,Louisiana,4644013,21093
2015,Louisiana,4664628,21187
2016,Louisiana,4678135,21248
2017,Louisiana,4670560,21214
2018,Louisiana,4659690,21165
2019,Louisiana,4648794,21116
2010,Maine,1328361,4713
2011,Maine,1328284,4713
2012,Maine,1327729,4711
2013,Maine,1328009,4712
2014,Maine,1330513,4721
2015,Maine,1328262,4713
2016,Maine,1331317,4724
2017,Maine,1334612,4736
2018,Maine,1339057,4752
2019,Maine,1344212,4770
2010,Maryland,5773552,16377
2011,Maryland,5839419,16564
2012,Maryland,5886992,16699
2013,Maryland,5923188,16802
2014,Maryland,5957283,16899
2015,Maryland,5985562,16979
2016,Maryland,6003323,17029
2017,Maryland,6023868,17087
2018,Maryland,6035802,17121
2019,Maryland,6045680,17149
2010,Massachusetts,6547629,12015
2011,Massachusetts,6613583,12136
2012,Massachusetts,6663005,12227
2013,Massachusetts,6713315,12319
2014,Massachusetts,6762596,12409
2015,Massachusetts,6794228,12467
2016,Massachusetts,6823608,12521
2017,Massachusetts,6859789,12587
2018,Massachusetts,6882635,12629
2019,Massachusetts,6892503,12647
2010,Michigan,9883640,27986
2011,Michigan,9882412,27983
2012,Michigan,9897145,28025
2013,Michigan,9913065,28070
2014,Michigan,9929848,28118
2015,Michigan,9931715,28123
2016,Michigan,9950571,28176
2017,Michigan,9973114,28240
2018,Michigan,9984072,28271
2019,Michigan,9986857,28279
2010,Minnesota,5303925,10954
2011,Minnesota,5346143,11041
2012,Minnesota,5376643,11104
2013,Minnesota,5413479,11180
2014,Minnesota,5451079,11258
2015,Minnesota,5482032,11322
2016,Minnesota,5522744,11406
2017,Minnesota,5566230,11496
2018,Minnesota,5606249,11579
2019,Minnesota,5639632,11648
2010,Mississippi,2967297,10943
2011,Mississippi,2978731,10985
2012,Mississippi,2983816,11004
2013,Mississippi,2988711,11022
2014,Mississippi,2990468,11028
2015,Mississippi,2988471,11021
2016,Mississippi,2987938,11019
2017,Mississippi,2988510,11021
2018,Mississippi,2981020,10993
2019,Mississippi,2976149,10975
2010,Missouri,5988927,22551
2011,Missouri,6010275,22631
2012,Missouri,6024367,22684
2013,Missouri,6040715,22746
2014,Missouri,6056202,22804
2015,Missouri,6071732,22862
2016,Missouri,6087135,22920
2017,Missouri,6106670,22994
2018,Missouri,6121623,23050
2019,Missouri,6137428,23110
2010,Montana,989415,5001
2011,Montana,997316,5041
2012,Montana,1003783,5074
2013,Montana,1013569,5123
2014,Montana,1021869,5165
2015,Montana,1030475,5208
2016,Montana,1040859,5260
2017,Montana,1052482,5319
2018,Montana,1060665,5360
2019,Montana,1068778,5401
2010,Nebraska,1826341,5484
2011,Nebraska,1840672,5527
2012,Nebraska,1853303,5565
2013,Nebraska,1865279,5601
2014,Nebraska,1879321,5643
2015,Nebraska,1891277,5679
2016,Nebraska,1905616,5722
2017,Nebraska,1915947,5753
2018,Nebraska,1925614,5782
2019,Nebraska,1934408,5808
2010,Nevada,2700551,8881
2011,Nevada,2712730,8921
2012,Nevada,2743996,9024
2013,Nevada,2775970,9129
2014,Nevada,2817628,9266
2015,Nevada,2866939,9428
2016,Nevada,2917563,9594
2017,Nevada,2969905,9766
2018,Nevada,3027341,9955
2019,Nevada,3080156,10129
2010,New Hampshire,1316470,4975
2011,New Hampshire,1320202,4989
2012,New Hampshire,1324232,5004
2013,New Hampshire,1326622,5013
2014,New Hampshire,1333341,5038
2015,New Hampshire,1336350,5049
2016,New Hampshire,1342307,5072
2017,New Hampshire,1348787,5096
2018,New Hampshire,1353465,5114
2019,New Hampshire,1359711,5138
2010,New Jersey,8791894,15607
2011,New Jersey,8828117,15671
2012,New Jersey,8844942,15701
2013,New Jersey,8856972,15722
2014,New Jersey,8864525,15735
2015,New Jersey,8867949,15741
2016,New Jersey,8870827,15746
2017,New Jersey,8885525,15772
2018,New Jersey,8886025,15773
2019,New Jersey,8882190,15766
2010,New Mexico,2059179,8094
2011,New Mexico,2080450,8178
2012,New Mexico,2087309,8205
2013,New Mexico,2092273,8225
2014,New Mexico,2089568,8214
2015,New Mexico,2089291,8213
2016,New Mexico,2091630,8222
2017,New Mexico,2091784,8223
2018,New Mexico,2092741,8227
2019,New Mexico,2096829,8243
2010,New York,19378102,42953
2011,New York,19499241,43222
2012,New York,19572932,43385
2013,New York,19624447,43499
2014,New York,19651049,43558
2015,New York,19654666,43566
2016,New York,19633428,43519
2017,New York,19589572,43422
2018,New York,19530351,43291
2019,New York,19453561,43121
2010,North Carolina,9535483,30298
2011,North Carolina,9657592,30686
2012,North Carolina,9749476,30978
2013,North Carolina,9843336,31276
2014,North Carolina,9932887,31561
2015,North Carolina,10031646,31875
2016,North Carolina,10154788,32266
2017,North Carolina,10268233,32626
2018,North Carolina,10381615,32986
2019,North Carolina,10488084,33324
2010,North Dakota,672591,3314
2011,North Dakota,685225,3376
2012,North Dakota,701176,3455
2013,North Dakota,722036,3558
2014,North Dakota,737401,3634
2015,North Dakota,754066,3716
2016,North Dakota,754434,3718
2017,North Dakota,754942,3721
2018,North Dakota,758080,3736
2019,North Dakota,762062,3756
2010,Ohio,11536504,31991
2011,Ohio,11544663,32014
2012,Ohio,11548923,32026
2013,Ohio,11576684,32103
2014,Ohio,11602700,32175
2015,Ohio,11617527,32216
2016,Ohio,11634370,32263
2017,Ohio,11659650,32333
2018,Ohio,11676341,32379
2019,Ohio,11689100,32414
2010,Oklahoma,3751351,13531
2011,Oklahoma,3788379,13665
2012,Oklahoma,3818814,13775
2013,Oklahoma,3853214,13899
2014,Oklahoma,3878187,13989
2015,Oklahoma,3909500,14102
2016,Oklahoma,3926331,14163
2017,Oklahoma,3931316,14181
2018,Oklahoma,3940235,14213
2019,Oklahoma,3956971,14273
2010,Oregon,3831074,17532
2011,Oregon,3872036,17719
2012,Oregon,3899001,17842
2013,Oregon,3922468,17949
2014,Oregon,3963244,18136
2015,Oregon,4015792,18376
2016,Oregon,4089976,18715
2017,Oregon,4143625,18960
2018,Oregon,4181886,19135
2019,Oregon,4217737,19299
2010,Pennsylvania,12702379,32526
2011,Pennsylvania,12745815,32637
2012,Pennsylvania,12767118,32692
2013,Pennsylvania,12776309,32716
2014,Pennsylvania,12788313,32747
2015,Pennsylvania,12784826,32738
2016,Pennsylvania,12782275,32731
2017,Pennsylvania,12787641,32745
2018,Pennsylvania,12800922,32779
2019,Pennsylvania,12801989,32782
2010,Rhode Island,1052567,2680
2011,Rhode Island,1053649,2683
2012,Rhode Island,1054621,2685
2013,Rhode Island,1055081,2686
2014,Rhode Island,1055936,2688
2015,Rhode Island,1056065,2688
2016,Rhode Island,1056770,2690
2017,Rhode Island,1055673,2687
2018,Rhode Island,1058287,2694
2019,Rhode Island,1059361,2697
2010,South Carolina,4625364,20611
2011,South Carolina,4671994,20819
2012,South Carolina,4717354,21021
2013,South Carolina,4764080,21229
2014,South Carolina,4823617,21494
2015,South Carolina,4891938,21798
2016,South Carolina,4957968,22092
2017,South Carolina,5021268,22374
2018,South Carolina,5084156,22654
2019,South Carolina,5148714,22942
2010,South Dakota,814180,5581
2011,South Dakota,823579,5645
2012,South Dakota,833566,5713
2013,South Dakota,842316,5773
2014,South Dakota,849129,5820
2015,South Dakota,853988,5853
2016,South Dakota,862996,5915
2017,South Dakota,872868,5983
2018,South Dakota,878698,6023
2019,South Dakota,884659,6064
2010,Tennessee,6346105,29326
2011,Tennessee,6399291,29572
2012,Tennessee,6453898,29824
2013,Tennessee,6494340,30011
2014,Tennessee,6541223,30228
2015,Tennessee,6591170,30459
2016,Tennessee,6646010,30712
2017,Tennessee,6708799,31002
2018,Tennessee,6771631,31292
2019,Tennessee,6829174,31558
2010,Texas,25145561,122857
2011,Texas,25645629,125300
2012,Texas,26084481,127444
2013,Texas,26480266,129378
2014,Texas,26964333,131743
2015,Texas,27470056,134214
2016,Texas,27914410,136385
2017,Texas,28295273,138246
2018,Texas,28628666,139875
2019,Texas,28995881,141669
2010,Utah,2763885,6880
2011,Utah,2814384,7006
2012,Utah,2853375,7103
2013,Utah,2897640,7213
2014,Utah,2936879,7311
2015,Utah,2981835,7423
2016,Utah,3041868,7572
2017,Utah,3101042,7719
2018,Utah,3153550,7850
2019,Utah,3205958,7980
2010,Vermont,625741,4596
2011,Vermont,627049,4606
2012,Vermont,626090,4599
2013,Vermont,626210,4600
2014,Vermont,625214,4593
2015,Vermont,625216,4593
2016,Vermont,623657,4582
2017,Vermont,624344,4587
2018,Vermont,624358,4587
2019,Vermont,623989,4584
2010,Virginia,8001024,36712
2011,Virginia,8101155,37171
2012,Virginia,8185080,37556
2013,Virginia,8252427,37865
2014,Virginia,8310993,38134
2015,Virginia,8361808,38367
2016,Virginia,8410106,38589
2017,Virginia,8463587,38834
2018,Virginia,8501286,39007
2019,Virginia,8535519,39164
2010,Washington,6724540,28829
2011,Washington,6826627,29267
2012,Washington,6897058,29569
2013,Washington,6963985,29856
2014,Washington,7054655,30245
2015,Washington,7163657,30712
2016,Washington,7294771,31274
2017,Washington,7423362,31825
2018,Washington,7523869,32256
2019,Washington,7614893,32646
2010,West Virginia,1852994,6821
2011,West Virginia,1856301,6833
2012,West Virginia,1856872,6835
2013,West Virginia,1853914,6824
2014,West Virginia,1849489,6808
2015,West Virginia,1842050,6781
2016,West Virginia,1831023,6740
2017,West Virginia,1817004,6688
2018,West Virginia,1804291,6641
2019,West Virginia,1792147,6596
2010,Wisconsin,5686986,11244
2011,Wisconsin,5705288,11280
2012,Wisconsin,5719960,11309
2013,Wisconsin,5736754,11342
2014,Wisconsin,5751525,11371
2015,Wisconsin,5760940,11390
2016,Wisconsin,5772628,11413
2017,Wisconsin,5790186,11448
2018,Wisconsin,5807406,11482
2019,Wisconsin,5822434,11512
2010,Wyoming,563626,4674
2011,Wyoming,567299,4704
2012,Wyoming,576305,4779
2013,Wyoming,582122,4827
2014,Wyoming,582531,4830
2015,Wyoming,585613,4856
2016,Wyoming,584215,4844
2017,Wyoming,578931,4800
2018,Wyoming,577601,4789
2019,Wyoming,578759,4799
